time_seconds,speed_meters_per_second,acceleration_meters_per_second_squared,Slope,Acceleration_Category,Good_driver
2.0,0.0,-0.026637504,0.0,No Acceleration/Deceleration,0
7.0,0.0,0.0,0.026637504,No Acceleration/Deceleration,0
8.0,0.0,0.0,0.0,No Acceleration/Deceleration,0
9.0,0.0,0.0,0.0,No Acceleration/Deceleration,0
10.0,0.0,0.0,0.0,No Acceleration/Deceleration,0
11.0,0.0,0.0,0.0,No Acceleration/Deceleration,0
12.0,0.0,0.0,0.0,No Acceleration/Deceleration,0
13.0,0.0,0.0,0.0,No Acceleration/Deceleration,0
14.0,0.0,0.0,0.0,No Acceleration/Deceleration,0
15.0,0.10140178,0.10140178,0.10140178,No Acceleration/Deceleration,0
16.0,0.056577712,-0.044824068,-0.146225848,No Acceleration/Deceleration,0
17.0,0.033049334,-0.023528378,0.021295690000000003,No Acceleration/Deceleration,0
19.0,0.014422788,-0.009313273,0.014215104999999999,No Acceleration/Deceleration,0
20.0,0.022567842,0.008145054,0.017458327000000003,No Acceleration/Deceleration,0
22.0,0.012744946,-0.004911448,-0.013056502000000001,No Acceleration/Deceleration,0
23.0,0.009266041,-0.003478905,0.0014325429999999997,No Acceleration/Deceleration,0
24.0,0.007163984,-0.002102057,0.001376848,No Acceleration/Deceleration,0
26.0,0.005575264,-0.00079436,0.001307697,No Acceleration/Deceleration,0
27.0,0.003451408,-0.002123856,-0.0013294959999999999,No Acceleration/Deceleration,0
29.0,0.005236584,0.000892588,0.003016444,No Acceleration/Deceleration,0
30.0,0.004776117,-0.000460467,-0.0013530550000000001,No Acceleration/Deceleration,0
32.0,0.016679863,0.005951873,0.00641234,No Acceleration/Deceleration,0
33.0,0.010623721,-0.006056142,-0.012008015,No Acceleration/Deceleration,0
34.0,0.00645793,-0.004165791,0.0018903509999999993,No Acceleration/Deceleration,0
35.0,0.00384772,-0.00261021,0.0015555810000000003,No Acceleration/Deceleration,0
36.0,0.003402715,-0.000445005,0.002165205,No Acceleration/Deceleration,0
37.0,0.003064654,-0.000338061,0.00010694399999999998,No Acceleration/Deceleration,0
38.0,0.005290777,0.002226123,0.002564184,No Acceleration/Deceleration,0
39.0,0.00680291,0.001512132,-0.000713991,No Acceleration/Deceleration,0
40.0,0.006504585,-0.000298324,-0.001810456,No Acceleration/Deceleration,0
41.0,0.006575307,7.07e-05,0.00036902399999999997,No Acceleration/Deceleration,0
42.0,0.007208326,0.000633019,0.0005623189999999999,No Acceleration/Deceleration,0
43.0,0.005444904,-0.001763422,-0.002396441,No Acceleration/Deceleration,0
44.0,0.007071925,0.001627021,0.003390443,No Acceleration/Deceleration,0
46.0,0.00617921,-0.000446358,-0.002073379,No Acceleration/Deceleration,0
47.0,0.005661708,-0.000517502,-7.114399999999998e-05,No Acceleration/Deceleration,0
49.0,0.006693967,0.000516129,0.0010336310000000001,No Acceleration/Deceleration,0
50.0,0.007275528,0.000581562,6.543299999999994e-05,No Acceleration/Deceleration,0
51.0,0.005012856,-0.002262672,-0.0028442339999999997,No Acceleration/Deceleration,0
53.0,0.006160361,0.000573752,0.0028364239999999997,No Acceleration/Deceleration,0
54.0,0.005289958,-0.000870403,-0.001444155,No Acceleration/Deceleration,0
56.0,0.007246581,0.000978312,0.001848715,No Acceleration/Deceleration,0
57.0,0.005336182,-0.001910399,-0.002888711,No Acceleration/Deceleration,0
59.0,0.010138623,0.00240122,0.004311619,No Acceleration/Deceleration,0
60.0,0.006220433,-0.003918189,-0.006319409,No Acceleration/Deceleration,0
62.0,0.004388425,-0.000916004,0.003002185,No Acceleration/Deceleration,0
63.0,0.003743022,-0.000645403,0.000270601,No Acceleration/Deceleration,0
65.0,0.00691804,0.001587509,0.002232912,No Acceleration/Deceleration,0
66.0,0.005190951,-0.001727089,-0.003314598,No Acceleration/Deceleration,0
68.0,0.00773618,0.001272614,0.0029997030000000003,No Acceleration/Deceleration,0
69.0,0.007298017,-0.000438163,-0.0017107770000000001,No Acceleration/Deceleration,0
71.0,0.006220039,-0.000538989,-0.00010082600000000004,No Acceleration/Deceleration,0
72.0,0.008256017,0.002035978,0.002574967,No Acceleration/Deceleration,0
